mq,lambda1,order
5.300000000000017,5.1499999999999995,2.0
5.300000000000017,5.174999999999999,2.0
5.300000000000017,5.187499999999999,1.0
5.200000000000017,6.0,1.0
5.200000000000017,5.6,1.0
5.200000000000017,5.199999999999999,1.0
5.200000000000017,4.799999999999999,2.0
5.200000000000017,4.999999999999999,2.0
5.200000000000017,5.1,2.0
5.200000000000017,5.1499999999999995,2.0
5.200000000000017,5.174999999999999,1.0
5.200000000000017,5.162499999999999,2.0
5.100000000000017,6.0,1.0
5.100000000000017,5.6,1.0
5.100000000000017,5.199999999999999,1.0
5.100000000000017,4.799999999999999,2.0
5.100000000000017,4.999999999999999,2.0
5.100000000000017,5.1,2.0
5.100000000000017,5.1499999999999995,2.0
5.100000000000017,5.174999999999999,1.0
5.100000000000017,5.162499999999999,2.0
5.000000000000018,6.0,1.0
5.000000000000018,5.6,1.0
5.000000000000018,5.199999999999999,1.0
5.000000000000018,4.799999999999999,2.0
5.000000000000018,4.999999999999999,1.0
5.000000000000018,4.8999999999999995,2.0
5.000000000000018,4.949999999999999,2.0
5.000000000000018,4.974999999999999,1.0
5.000000000000018,4.962499999999999,2.0
4.900000000000018,6.0,1.0
4.900000000000018,5.6,1.0
4.900000000000018,5.199999999999999,1.0
4.900000000000018,4.799999999999999,2.0
4.900000000000018,4.999999999999999,1.0
4.900000000000018,4.8999999999999995,2.0
4.900000000000018,4.949999999999999,2.0
4.900000000000018,4.974999999999999,1.0
4.900000000000018,4.962499999999999,1.0
4.8000000000000185,6.0,1.0
4.8000000000000185,5.6,1.0
4.8000000000000185,5.199999999999999,1.0
4.8000000000000185,4.799999999999999,2.0
4.8000000000000185,4.999999999999999,1.0
4.8000000000000185,4.8999999999999995,2.0
4.8000000000000185,4.949999999999999,2.0
4.8000000000000185,4.974999999999999,1.0
4.8000000000000185,4.962499999999999,2.0
4.700000000000019,6.0,1.0
4.700000000000019,5.6,1.0
4.700000000000019,5.199999999999999,1.0
4.700000000000019,4.799999999999999,2.0
4.700000000000019,4.999999999999999,1.0
4.700000000000019,4.8999999999999995,2.0
4.700000000000019,4.949999999999999,2.0
4.700000000000019,4.974999999999999,2.0
4.700000000000019,4.987499999999999,1.0
4.600000000000019,6.0,1.0
4.600000000000019,5.6,1.0
4.600000000000019,5.199999999999999,1.0
4.600000000000019,4.799999999999999,2.0
4.600000000000019,4.999999999999999,1.0
4.600000000000019,4.8999999999999995,2.0
4.600000000000019,4.949999999999999,2.0
4.600000000000019,4.974999999999999,1.0
4.600000000000019,4.962499999999999,2.0
4.5000000000000195,6.0,1.0
4.5000000000000195,5.6,1.0
4.5000000000000195,5.199999999999999,1.0
4.5000000000000195,4.799999999999999,2.0
4.5000000000000195,4.999999999999999,1.0
4.5000000000000195,4.8999999999999995,2.0
4.5000000000000195,4.949999999999999,2.0
4.5000000000000195,4.974999999999999,2.0
4.5000000000000195,4.987499999999999,2.0
4.40000000000002,6.0,1.0
4.40000000000002,5.6,1.0
