# d0,mq
8.711487800433114614e+01,-1.168911917356404984e-01
8.711487800505034329e+01,-1.285212838411678438e-01
8.711487800576954044e+01,-1.444711068027169087e-01
8.711487800648873758e+01,-1.682918976969192959e-01
8.711487800720793473e+01,-2.097014949962126840e-01
8.711487800792713188e+01,-3.122974747476548463e-01
8.711487800792713188e+01,-3.122974747476548463e-01
8.711487800793432257e+01,-3.142005654604972387e-01
8.711487800794151326e+01,-3.161385720887640027e-01
8.711487800794870395e+01,-3.181108677749006630e-01
8.711487800795589465e+01,-3.201199716914551741e-01
8.711487800796308534e+01,-3.221655727468909491e-01
8.711487800797027603e+01,-3.242539254013206973e-01
8.711487800797746672e+01,-3.263833039079339637e-01
8.711487800798465742e+01,-3.285528332422625319e-01
8.711487800799184811e+01,-3.307671506960295771e-01
8.711487800799903880e+01,-3.330245875462410909e-01
8.711487800800622949e+01,-3.353312978454720539e-01
8.711487800801342019e+01,-3.376828546549395793e-01
8.711487800802061088e+01,-3.400845219778991790e-01
8.711487800802780157e+01,-3.425352288342155549e-01
8.711487800803499226e+01,-3.450456930414949053e-01
8.711487800804218296e+01,-3.476070899670051229e-01
8.711487800804937365e+01,-3.502279686431267192e-01
8.711487800805656434e+01,-3.529061535619564816e-01
8.711487800806375503e+01,-3.556459087398602392e-01
8.711487800807094573e+01,-3.584493763626882545e-01
8.711487800807813642e+01,-3.613194057442739027e-01
8.711487800808532711e+01,-3.642645184674588310e-01
8.711487800809251780e+01,-3.672762270504064119e-01
8.711487800809970850e+01,-3.703631142513818530e-01
8.711487800810689919e+01,-3.735247150716542452e-01
8.711487800811408988e+01,-3.767738895164984836e-01
8.711487800812128057e+01,-3.801081946360919672e-01
8.711487800812847127e+01,-3.835316658168289039e-01
8.711487800813566196e+01,-3.870422306368673793e-01
8.711487800814285265e+01,-3.906560917251509779e-01
8.711487800815004334e+01,-3.943706430837021770e-01
8.711487800815723404e+01,-3.981858785957342328e-01
8.711487800816442473e+01,-4.021172758198275354e-01
8.711487800817161542e+01,-4.061712410601262535e-01
8.711487800817880611e+01,-4.103419676274149830e-01
8.711487800818599680e+01,-4.146410823676320301e-01
8.711487800819318750e+01,-4.190767060337908245e-01
8.711487800820037819e+01,-4.236647826528109895e-01
8.711487800820756888e+01,-4.283905989078731769e-01
8.711487800821475957e+01,-4.332758461041338327e-01
8.711487800822195027e+01,-4.383441067073970410e-01
8.711487800822914096e+01,-4.435870481246693697e-01
8.711487800823633165e+01,-4.490150094464870900e-01
8.711487800824352234e+01,-4.546425447157020905e-01
8.711487800825071304e+01,-4.604900587057015326e-01
8.711487800825790373e+01,-4.665552066999798519e-01
8.711487800826509442e+01,-4.728729593379876750e-01
8.711487800827228511e+01,-4.794442520155586251e-01
8.711487800827947581e+01,-4.860655477072856057e-01
8.711487800828666650e+01,-4.932018608141763849e-01
8.711487800829385719e+01,-5.006533125412028218e-01
8.711487800830104788e+01,-5.084388904395104047e-01
8.711487800830823858e+01,-5.166154262129877273e-01
8.711487800831542927e+01,-5.251759231858514898e-01
8.711487800832261996e+01,-5.341623366718333266e-01
8.711487800832981065e+01,-5.436287293643953245e-01
8.711487800833700135e+01,-5.536335514498210708e-01
8.711487800834419204e+01,-5.641703944875571253e-01
8.711487800835138273e+01,-5.753037801869393952e-01
8.711487800835857342e+01,-5.871532125360109378e-01
8.711487800836576412e+01,-5.997232255376219179e-01
8.711487800837295481e+01,-6.131292241002710419e-01
8.711487800838014550e+01,-6.274635858864363591e-01
8.711487800838733619e+01,-6.428351252617612310e-01
8.711487800839452689e+01,-6.593492639448904624e-01
8.711487800840171758e+01,-6.771611375746505734e-01
8.711487800840890827e+01,-6.964994452022599258e-01
8.711487800841609896e+01,-7.175556217326407582e-01
8.711487800842328966e+01,-7.405917620064501605e-01
8.711487800843048035e+01,-7.658952773929308400e-01
8.711487800843767104e+01,-7.939326923577011419e-01
8.711487800844486173e+01,-8.252330150207595194e-01
8.711487800845205243e+01,-8.604048068995326926e-01
8.711487800845924312e+01,-9.003019727475142231e-01
8.711487800846643381e+01,-9.461833242781166886e-01
8.711487800847362450e+01,-9.997207237631349219e-01
8.711487800848081520e+01,-1.063006877840671605e+00
8.711487800848800589e+01,-1.139529482644550118e+00
8.711487800849519658e+01,-1.234684382599562369e+00
8.711487800850238727e+01,-1.357421134002708252e+00
8.711487800850957797e+01,-1.522159584736724192e+00
8.711487800851676866e+01,-1.760981293125944536e+00
8.711487800852395935e+01,-2.151991985803213492e+00
8.711487800853115004e+01,-2.950023421171496185e+00
8.711487800853834074e+01,-5.054699134513671588e+00
8.711487800853834074e+01,-5.054699134513671588e+00
8.711487800853841179e+01,-5.013484921107756342e+00
8.711487800853848285e+01,-4.959018145135211775e+00
8.711487800853855390e+01,-4.881823696309068872e+00
8.711487800853862495e+01,-4.789852307641845108e+00
8.711487800853869601e+01,-4.658459828575302275e+00
8.711487800853876706e+01,-4.488999210509888371e+00
8.711487800853883812e+01,-4.318459482385446080e+00
8.711487800853890917e+01,-4.027990464282346750e+00
8.711487800853898023e+01,-3.666454187255538066e+00
8.711487800853905128e+01,-3.270915587139650693e+00
8.711487800853912233e+01,-2.711856676955016532e+00
8.711487800853919339e+01,-1.923840527708081449e+00
8.711487800853926444e+01,-9.681259290793468031e-01
8.711487800853933550e+01,1.344302007137721244e-01
8.711487800853940655e+01,1.819975547094776713e+00
8.711487800853947761e+01,4.060731868493878238e+00
8.711487800853954866e+01,6.471152713708489657e+00
8.711487800853961971e+01,1.101111508955881213e+01
8.711487800853969077e+01,1.733828409289588279e+01
8.711487800853976182e+01,2.600733192897146395e+01
8.711487800853983288e+01,4.148517728038130770e+01
8.711487800853990393e+01,6.634492339198357058e+01
8.711487800853997499e+01,1.327214249939890749e+02
